Combined,Ward,Block,Grid
03,0,3,I6
04,0,4,I5
11,1,1,H5
12,1,2,H6
13,1,3,I5
14,1,4,I4
21,2,1,H4
22,2,2,H5
23,2,3,I4
24,2,4,I3
31,3,1,H3
32,3,2,H4
33,3,3,I3
34,3,4,I2
41,4,1,H2
42,4,2,H3
43,4,3,G3
44,4,4,G2
51,5,1,F2
52,5,2,F3
53,5,3,G4
54,5,4,G3
61,6,1,F3
62,6,2,F4
63,6,3,G5
64,6,4,G4
71,7,1,F4
72,7,2,F5
73,7,3,G6
74,7,4,G5
81,8,1,F5
82,8,2,F6
83,8,3,E6
84,8,4,E5
91,9,1,D5
92,9,2,D6
93,9,3,E5
94,9,4,E4
101,10,1,D4
102,10,2,D5
103,10,3,E4
104,10,4,E3
111,11,1,D3
112,11,2,D4
113,11,3,E3
114,11,4,E2
121,12,1,D2
122,12,2,D3
123,12,3,C3
124,12,4,C2
131,13,1,B2
132,13,2,B3
133,13,3,C4
134,13,4,C3
141,14,1,B3
142,14,2,B4
143,14,3,C5
144,14,4,C4
151,15,1,B4
152,15,2,B5
153,15,3,C6
154,15,4,C5
161,16,1,B5
162,16,2,B6
163,16,3,A6
164,16,4,A5
171,17,1,A5
172,17,2,A6
173,17,3,A5
174,17,4,A4
181,18,1,A4
182,18,2,A5
183,18,3,A4
184,18,4,A3
191,19,1,A3
192,19,2,A4
193,19,3,A3
194,19,4,A2
201,20,1,A2
202,20,2,A3
203,20,3,A1
204,20,4,A1
211,21,1,A1
212,21,2,A1
213,21,3,C1
214,21,4,C1
221,22,1,B1
222,22,2,B1
223,22,3,E1
224,22,4,E1
231,23,1,D1
232,23,2,D1
233,23,3,G1
234,23,4,G1
241,24,1,F1
242,24,2,F1
243,24,3,I1
244,24,4,I1
251,25,1,H1
252,25,2,H1
253,25,3,I1
254,25,4,I1
261,26,1,H1
262,26,2,H1
263,26,3,G1
264,26,4,G1
271,27,1,F1
272,27,2,F1
273,27,3,E1
274,27,4,E1
281,28,1,D1
282,28,2,D1
283,28,3,C1
284,28,4,C1
291,29,1,B1
292,29,2,B1
293,29,3,A1
294,29,4,A1
301,30,1,A1
302,30,2,A1
303,30,3,K6
304,30,4,K5
311,31,1,J5
312,31,2,J6
313,31,3,K5
314,31,4,K4
321,32,1,J4
322,32,2,J5
323,32,3,K4
324,32,4,K3
331,33,1,J3
332,33,2,J4
333,33,3,K3
334,33,4,K2
341,34,1,J2
342,34,2,J3
343,34,3,K1
344,34,4,K1
351,35,1,J1
352,35,2,J1
353,35,3,K1
354,35,4,K1
361,36,1,J1
362,36,2,J1
363,36,3,M1
364,36,4,M1
371,37,1,L1
372,37,2,L1
373,37,3,M1
374,37,4,M1
381,38,1,L1
382,38,2,L1
383,38,3,M3
384,38,4,M2
391,39,1,L2
392,39,2,L3
393,39,3,M4
394,39,4,M3
401,40,1,L3
402,40,2,L4
403,40,3,M5
404,40,4,M4
411,41,1,L4
412,41,2,L5
413,41,3,M6
414,41,4,M5
421,42,1,L5
422,42,2,L6
